City,Date,Max Temp (°C),Min Temp (°C),Precipitation (mm)
Concord,2014-01-17,19.1,0.8,0.0
Concord,2014-01-18,20.8,0.8,0.0
Concord,2014-01-19,18.1,0.0,0.0
Concord,2014-01-20,20.0,1.0,0.0
Concord,2014-01-21,20.8,0.8,0.0
Concord,2014-01-22,21.0,1.0,0.0
Concord,2014-01-23,18.9,2.9,0.0
Concord,2014-01-24,21.1,4.2,0.0
Concord,2014-01-25,22.8,6.2,0.0
Concord,2014-01-26,20.0,5.0,0.0
Concord,2014-01-27,16.8,4.2,0.0
Concord,2014-01-28,19.1,10.8,0.0
Concord,2014-01-29,17.9,12.9,0.132
Concord,2014-01-30,17.0,10.0,2.656
Concord,2014-01-31,16.0,5.8,0.0
Concord,2014-02-01,15.0,1.0,0.0
Concord,2014-02-02,10.0,4.1,5.727
Concord,2014-02-03,13.1,3.1,0.0
Concord,2014-02-04,12.0,2.1,0.0
Concord,2014-02-05,13.1,1.8,2.387
Concord,2014-02-06,10.8,6.8,15.457
Concord,2014-02-07,11.8,10.0,5.741
Concord,2014-02-08,15.0,11.0,14.169
Concord,2014-02-09,15.8,13.1,24.102
Concord,2014-02-10,16.0,11.0,0.165
Concord,2014-02-11,16.8,7.1,0.001
Concord,2014-02-12,15.8,6.1,0.165
Concord,2014-02-13,20.8,10.0,0.0
Concord,2014-02-14,17.9,11.1,0.002
Concord,2014-02-15,16.0,9.1,0.166
Concord,2014-02-16,17.0,7.0,0.003
Concord,2014-02-17,16.8,4.1,0.0
Concord,2014-02-18,18.1,5.8,0.0
Concord,2014-02-19,18.1,10.0,0.0
Concord,2014-02-20,19.1,4.2,0.0
Concord,2014-02-21,21.8,5.8,0.0
Concord,2014-02-22,21.8,5.8,0.0
Concord,2014-02-23,21.8,5.0,0.172
Concord,2014-02-24,22.0,5.0,0.176
Concord,2014-02-25,17.9,6.7,0.0
Concord,2014-02-26,15.0,10.8,19.843
Concord,2014-02-27,18.1,12.0,1.123
